"foreignworker";"status";"credithistory";"purpose";"savings";"employmentsince";"otherdebtors";"property";"otherinstallments";"housing";"job";"phone";"duration";"creditamount";"installmentrate";"residencesince";"age";"numberofexsistingcredits";"numberofliablepeople";"gender";"creditworthy";"creditamout_per_month"
"yes";"< 200 Euro";"delay in paying off in the past";"furniture/equipment";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"none";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";18;4297;4;3;40;1;1;"male";"Not Worthy";238.72222222222223
"yes";"no checking account";"critical account/";"education";"500 <= ... < 1000 Euro";".. >= 7 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";9;936;4;2;52;2;1;"male";"Worthy";104.0
"yes";"< 0 Euro";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"unskilled - resident";"none";12;1168;4;3;27;1;1;"male";"Worthy";97.33333333333333
"yes";"no checking account";"delay in paying off in the past";"business";"... < 100 Euro";"4 <= ... < 7 years";"none";"car or other";"none";"own";"skilled employee / official";"none";27;5117;3;4;26;2;1;"male";"Worthy";189.5185185185185
"yes";"< 0 Euro";"existing credits paid back duly till now";"retraining";"... < 100 Euro";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"none";"rent";"skilled employee / official";"none";12;902;4;4;21;1;1;"male";"Not Worthy";75.16666666666667
"yes";"no checking account";"critical account/";"car (new)";"... < 100 Euro";".. >= 7 years";"none";"real estate";"none";"own";"unskilled - resident";"none";12;1495;4;1;38;2;2;"male";"Worthy";124.58333333333333
"yes";"< 0 Euro";"critical account/";"car (used)";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"none";"for free";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";30;10623;3;4;38;3;2;"male";"Worthy";354.1
"yes";"no checking account";"critical account/";"furniture/equipment";"... < 100 Euro";".. >= 7 years";"none";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";12;1935;4;4;43;3;1;"male";"Worthy";161.25
"yes";"< 200 Euro";"critical account/";"domestic appliances";"... < 100 Euro";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";12;1424;4;3;26;1;1;"male";"Worthy";118.66666666666667
"yes";"< 0 Euro";"existing credits paid back duly till now";"business";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"stores";"own";"unskilled - resident";"none";24;6568;2;2;21;1;1;"male";"Worthy";273.6666666666667
"no";"no checking account";"existing credits paid back duly till now";"car (used)";".. >= 1000 Euro";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";12;1413;3;2;55;1;1;"male";"Worthy";117.75
"yes";"no checking account";"critical account/";"radio/television";"unknown/ no savings account";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"none";9;3074;1;2;33;2;2;"male";"Worthy";341.55555555555554
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";".. >= 7 years";"none";"real estate";"none";"own";"unskilled - resident";"yes, registered under the customers name";36;3835;2;4;45;1;1;"female";"Worthy";106.52777777777777
"yes";"< 0 Euro";"No credits taken";"business";"... < 100 Euro";"unemployed";"none";"building society savings agreement/ life insurance";"stores";"own";"skilled employee / official";"yes, registered under the customers name";27;5293;2;4;50;2;1;"male";"Not Worthy";196.03703703703704
"yes";"no checking account";"critical account/";"radio/television";"unknown/ no savings account";".. >= 7 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";36;3342;4;2;51;1;1;"male";"Worthy";92.83333333333333
"yes";"< 200 Euro";"critical account/";"retraining";"unknown/ no savings account";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"unskilled - resident";"none";6;932;1;3;39;2;1;"female";"Worthy";155.33333333333334
"yes";"< 0 Euro";"No credits taken";"business";"... < 100 Euro";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"bank";"own";"skilled employee / official";"yes, registered under the customers name";18;3104;3;1;31;1;1;"male";"Worthy";172.44444444444446
"yes";">= 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";36;3913;2;2;23;1;1;"male";"Worthy";108.69444444444444
"yes";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"rent";"unskilled - resident";"none";24;3021;2;2;24;1;1;"male";"Worthy";125.875
"yes";"no checking account";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";10;1364;2;4;64;1;1;"female";"Worthy";136.4
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"... < 1 year";"guarantor";"real estate";"bank";"own";"unskilled - resident";"none";12;625;4;1;26;1;1;"male";"Worthy";52.083333333333336
"yes";"< 0 Euro";"existing credits paid back duly till now";"education";"unknown/ no savings account";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"bank";"rent";"skilled employee / official";"yes, registered under the customers name";12;1200;4;4;23;1;1;"female";"Worthy";100.0
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"bank";"own";"skilled employee / official";"none";12;707;4;2;30;2;1;"male";"Worthy";58.916666666666664
"yes";"no checking account";"delay in paying off in the past";"business";"unknown/ no savings account";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";24;2978;4;4;32;2;2;"male";"Worthy";124.08333333333333
"yes";"no checking account";"existing credits paid back duly till now";"car (used)";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";15;4657;3;2;30;1;1;"male";"Worthy";310.46666666666664
"yes";"no checking account";"No credits taken";"repairs";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"none";36;2613;4;2;27;2;1;"male";"Worthy";72.58333333333333
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";".. >= 1000 Euro";"4 <= ... < 7 years";"co-applicant";"unknown / no property";"bank";"own";"skilled employee / official";"yes, registered under the customers name";48;10961;1;2;27;2;1;"male";"Not Worthy";228.35416666666666
"yes";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"none";"for free";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";12;7865;4;4;53;1;1;"male";"Not Worthy";655.4166666666666
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"4 <= ... < 7 years";"none";"car or other";"none";"own";"skilled employee / official";"none";9;1478;4;2;22;1;1;"male";"Not Worthy";164.22222222222223
"yes";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"... < 1 year";"none";"unknown / no property";"bank";"for free";"skilled employee / official";"none";24;3149;4;1;22;1;1;"male";"Worthy";131.20833333333334
"yes";">= 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"none";36;4210;4;2;26;1;1;"male";"Not Worthy";116.94444444444444
"yes";"no checking account";"existing credits paid back duly till now";"car (new)";"500 <= ... < 1000 Euro";".. >= 7 years";"none";"unknown / no property";"none";"for free";"unskilled - resident";"none";9;2507;2;4;51;1;1;"male";"Worthy";278.55555555555554
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"100 <= ... < 500 Euro";"4 <= ... < 7 years";"none";"unknown / no property";"none";"own";"skilled employee / official";"none";12;2141;3;1;35;1;1;"male";"Worthy";178.41666666666666
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"guarantor";"real estate";"none";"own";"unskilled - resident";"none";18;866;4;2;25;1;1;"male";"Worthy";48.111111111111114
"yes";"no checking account";"critical account/";"radio/television";"... < 100 Euro";"4 <= ... < 7 years";"none";"real estate";"none";"own";"unskilled - resident";"none";4;1544;2;1;42;3;2;"male";"Worthy";386.0
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"unemployed";"none";"car or other";"stores";"own";"management/ self-employed/ highly qualified employ";"none";24;1823;4;2;30;1;2;"male";"Not Worthy";75.95833333333333
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";"unemployed";"none";"building society savings agreement/ life insurance";"none";"own";"unemployed/ unskilled - non-resident";"yes, registered under the customers name";6;14555;1;2;23;1;1;"male";"Not Worthy";2425.8333333333335
"yes";"< 200 Euro";"existing credits paid back duly till now";"business";"100 <= ... < 500 Euro";".. >= 7 years";"none";"car or other";"bank";"rent";"unskilled - resident";"none";21;2767;4;2;61;2;1;"male";"Not Worthy";131.76190476190476
"yes";"no checking account";"critical account/";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";12;1291;4;2;35;2;1;"female";"Worthy";107.58333333333333
"Unknown";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";".. >= 7 years";"guarantor";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";30;2522;1;3;39;1;2;"male";"Worthy";84.06666666666666
"yes";"< 0 Euro";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";".. >= 7 years";"none";"car or other";"bank";"own";"skilled employee / official";"none";24;915;4;2;29;1;1;"female";"Not Worthy";38.125
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";6;1595;3;2;51;1;2;"male";"Worthy";265.8333333333333
"yes";"< 0 Euro";"No credits taken";"car (used)";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"none";"for free";"skilled employee / official";"none";48;4605;3;4;24;2;2;"male";"Not Worthy";95.9375
"yes";"no checking account";"critical account/";"business";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"none";12;1185;3;2;27;2;1;"female";"Worthy";98.75
"yes";"no checking account";"all credits at this bank paid back duly";"retraining";"500 <= ... < 1000 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"unskilled - resident";"none";12;3447;4;3;35;1;2;"female";"Worthy";287.25
"yes";"no checking account";"existing credits paid back duly till now";"business";"... < 100 Euro";"4 <= ... < 7 years";"none";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";24;1258;4;1;25;1;1;"male";"Worthy";52.416666666666664
"yes";"no checking account";"critical account/";"radio/television";"... < 100 Euro";".. >= 7 years";"none";"real estate";"none";"own";"skilled employee / official";"none";12;717;4;4;52;3;1;"male";"Worthy";59.75
"no";"no checking account";"No credits taken";"car (new)";"100 <= ... < 500 Euro";"1 <= ... < 4 years";"none";"unknown / no property";"bank";"rent";"skilled employee / official";"none";6;1204;4;1;35;1;1;"male";"Worthy";200.66666666666666
"yes";">= 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"none";24;1925;2;2;26;1;1;"male";"Worthy";80.20833333333333
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"unemployed";"co-applicant";"real estate";"none";"rent";"skilled employee / official";"none";18;433;3;4;22;1;1;"female";"Not Worthy";24.055555555555557
"yes";"< 0 Euro";"critical account/";"car (new)";".. >= 1000 Euro";"4 <= ... < 7 years";"none";"real estate";"none";"own";"unskilled - resident";"yes, registered under the customers name";6;666;3;4;39;2;1;"female";"Worthy";111.0
"yes";">= 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"unskilled - resident";"none";12;2251;1;2;46;1;1;"female";"Worthy";187.58333333333334
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";"1 <= ... < 4 years";"guarantor";"unknown / no property";"bank";"own";"skilled employee / official";"none";30;2150;4;2;24;1;1;"female";"Not Worthy";71.66666666666667
"yes";"no checking account";"delay in paying off in the past";"furniture/equipment";"100 <= ... < 500 Euro";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";24;4151;2;3;35;2;1;"male";"Worthy";172.95833333333334
"yes";"< 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"unknown/ no savings account";"4 <= ... < 7 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";9;2030;2;1;24;1;1;"male";"Worthy";225.55555555555554
"yes";"< 200 Euro";"delay in paying off in the past";"radio/television";"unknown/ no savings account";"1 <= ... < 4 years";"none";"real estate";"none";"own";"unskilled - resident";"none";60;7418;1;1;27;1;1;"male";"Worthy";123.63333333333334
"yes";"no checking account";"critical account/";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"unskilled - resident";"none";24;2684;4;2;35;2;1;"male";"Worthy";111.83333333333333
"yes";"< 0 Euro";"all credits at this bank paid back duly";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"unknown / no property";"none";"for free";"skilled employee / official";"none";12;2149;4;1;29;1;1;"male";"Not Worthy";179.08333333333334
"yes";"no checking account";"existing credits paid back duly till now";"car (used)";"100 <= ... < 500 Euro";"... < 1 year";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";15;3812;1;4;23;1;1;"female";"Worthy";254.13333333333333
"yes";"no checking account";"critical account/";"radio/television";"100 <= ... < 500 Euro";"unemployed";"none";"real estate";"none";"own";"unskilled - resident";"none";11;1154;4;4;57;3;1;"female";"Worthy";104.9090909090909
"yes";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"none";12;1657;2;2;27;1;1;"male";"Worthy";138.08333333333334
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";".. >= 7 years";"none";"car or other";"none";"own";"skilled employee / official";"none";24;1603;4;4;55;1;1;"female";"Worthy";66.79166666666667
"yes";"< 0 Euro";"critical account/";"car (new)";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"none";"for free";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";18;5302;2;4;36;3;1;"male";"Worthy";294.55555555555554
"yes";"no checking account";"critical account/";"education";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"bank";"for free";"unskilled - resident";"none";12;2748;2;4;57;3;1;"female";"Worthy";229.0
"no";"no checking account";"critical account/";"car (new)";"... < 100 Euro";".. >= 7 years";"none";"real estate";"none";"own";"unskilled - resident";"none";10;1231;3;4;32;2;2;"male";"Worthy";123.1
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";".. >= 7 years";"none";"car or other";"none";"own";"skilled employee / official";"none";15;802;4;3;37;1;2;"male";"Not Worthy";53.46666666666667
"yes";"no checking account";"critical account/";"business";"unknown/ no savings account";".. >= 7 years";"none";"real estate";"none";"own";"skilled employee / official";"none";36;6304;4;4;36;2;1;"male";"Worthy";175.11111111111111
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"... < 1 year";"none";"car or other";"stores";"own";"skilled employee / official";"yes, registered under the customers name";24;1533;4;3;38;1;1;"female";"Worthy";63.875
"no";"< 0 Euro";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";".. >= 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";14;8978;1;4;45;1;1;"male";"Not Worthy";641.2857142857143
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";".. >= 7 years";"none";"car or other";"none";"own";"skilled employee / official";"none";24;999;4;2;25;2;1;"male";"Worthy";41.625
"no";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";18;2662;4;3;32;1;1;"male";"Worthy";147.88888888888889
"yes";"no checking account";"critical account/";"furniture/equipment";"500 <= ... < 1000 Euro";"4 <= ... < 7 years";"none";"car or other";"none";"rent";"skilled employee / official";"yes, registered under the customers name";12;1402;3;4;37;1;1;"female";"Worthy";116.83333333333333
"yes";"< 200 Euro";"all credits at this bank paid back duly";"car (new)";"unknown/ no savings account";"unemployed";"co-applicant";"unknown / no property";"none";"for free";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";48;12169;4;4;36;1;1;"male";"Worthy";253.52083333333334
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"4 <= ... < 7 years";"none";"real estate";"none";"own";"skilled employee / official";"none";48;3060;4;4;28;2;1;"male";"Not Worthy";63.75
"yes";"< 0 Euro";"existing credits paid back duly till now";"repairs";"... < 100 Euro";"... < 1 year";"none";"unknown / no property";"none";"own";"unskilled - resident";"yes, registered under the customers name";30;11998;1;1;34;1;1;"male";"Not Worthy";399.93333333333334
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"none";9;2697;1;2;32;1;2;"male";"Worthy";299.6666666666667
"Unknown";"no checking account";"critical account/";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"none";18;2404;2;2;26;2;1;"female";"Worthy";133.55555555555554
"yes";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"unknown/ no savings account";".. >= 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"unskilled - resident";"yes, registered under the customers name";12;1262;2;4;49;1;1;"male";"Worthy";105.16666666666667
"yes";"no checking account";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"... < 1 year";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";6;4611;1;4;32;1;1;"female";"Not Worthy";768.5
"yes";"no checking account";"existing credits paid back duly till now";"radio/television";"100 <= ... < 500 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"rent";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";24;1901;4;4;29;1;1;"male";"Worthy";79.20833333333333
"yes";"no checking account";"critical account/";"car (used)";".. >= 1000 Euro";".. >= 7 years";"none";"unknown / no property";"none";"rent";"skilled employee / official";"yes, registered under the customers name";15;3368;3;4;23;2;1;"male";"Worthy";224.53333333333333
"yes";"no checking account";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"none";12;1574;4;2;50;1;1;"male";"Worthy";131.16666666666666
"yes";">= 200 Euro";"all credits at this bank paid back duly";"radio/television";"unknown/ no savings account";"4 <= ... < 7 years";"none";"car or other";"bank";"own";"unskilled - resident";"none";18;1445;4;4;49;1;1;"male";"Worthy";80.27777777777777
"yes";"no checking account";"critical account/";"furniture/equipment";"unknown/ no savings account";".. >= 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";15;1520;4;4;63;1;1;"male";"Worthy";101.33333333333333
"yes";"< 200 Euro";"critical account/";"car (new)";"100 <= ... < 500 Euro";"... < 1 year";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";24;3878;4;2;37;1;1;"male";"Worthy";161.58333333333334
"yes";"< 0 Euro";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";"... < 1 year";"none";"real estate";"none";"own";"unskilled - resident";"yes, registered under the customers name";47;10722;1;1;35;1;1;"female";"Worthy";228.12765957446808
"yes";"< 0 Euro";"existing credits paid back duly till now";"car (used)";"... < 100 Euro";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"none";48;4788;4;3;26;1;2;"male";"Worthy";99.75
"yes";"< 200 Euro";"delay in paying off in the past";"others";"100 <= ... < 500 Euro";"unemployed";"none";"unknown / no property";"none";"for free";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";48;7582;2;4;31;1;1;"male";"Worthy";157.95833333333334
"yes";"< 200 Euro";"existing credits paid back duly till now";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"guarantor";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";12;1092;4;4;49;2;1;"female";"Worthy";91.0
"yes";"< 0 Euro";"delay in paying off in the past";"radio/television";"... < 100 Euro";"... < 1 year";"none";"real estate";"stores";"own";"skilled employee / official";"none";24;1024;4;4;48;1;1;"male";"Not Worthy";42.666666666666664
"no";"no checking account";"existing credits paid back duly till now";"business";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";12;1076;2;2;26;1;1;"male";"Worthy";89.66666666666667
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (used)";"... < 100 Euro";"... < 1 year";"none";"car or other";"none";"rent";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";36;9398;1;4;28;1;1;"male";"Not Worthy";261.05555555555554
"yes";"< 0 Euro";"critical account/";"car (used)";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"none";"for free";"management/ self-employed/ highly qualified employ";"yes, registered under the customers name";24;6419;2;4;44;2;2;"female";"Worthy";267.4583333333333
"yes";">= 200 Euro";"critical account/";"car (used)";"... < 100 Euro";".. >= 7 years";"none";"unknown / no property";"none";"for free";"skilled employee / official";"none";42;4796;4;4;56;1;1;"male";"Worthy";114.19047619047619
"Unknown";"no checking account";"critical account/";"business";"unknown/ no savings account";".. >= 7 years";"none";"car or other";"bank";"own";"management/ self-employed/ highly qualified employ";"none";48;7629;4;2;46;2;2;"male";"Worthy";158.9375
"yes";"< 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"... < 1 year";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";48;9960;1;2;26;1;1;"female";"Not Worthy";207.5
"yes";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";"... < 1 year";"none";"car or other";"none";"rent";"skilled employee / official";"none";12;4675;1;4;20;1;1;"female";"Worthy";389.5833333333333
"no";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";".. >= 7 years";"co-applicant";"building society savings agreement/ life insurance";"none";"own";"unskilled - resident";"none";10;1287;4;2;45;1;1;"male";"Worthy";128.7
"yes";"no checking account";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"yes, registered under the customers name";18;2515;3;4;43;1;1;"male";"Worthy";139.72222222222223
"yes";"< 200 Euro";"critical account/";"furniture/equipment";".. >= 1000 Euro";"4 <= ... < 7 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";21;2745;3;2;32;2;1;"male";"Worthy";130.71428571428572
"yes";"no checking account";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";"unemployed";"none";"real estate";"none";"own";"unemployed/ unskilled - non-resident";"yes, registered under the customers name";6;672;1;4;54;1;1;"female";"Worthy";112.0
"yes";"< 200 Euro";"No credits taken";"radio/television";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"yes, registered under the customers name";36;3804;4;1;42;1;1;"female";"Not Worthy";105.66666666666667
"yes";">= 200 Euro";"critical account/";"car (new)";"unknown/ no savings account";"4 <= ... < 7 years";"none";"real estate";"bank";"own";"unskilled - resident";"none";24;1344;4;2;37;2;2;"male";"Not Worthy";56.0
"yes";"< 0 Euro";"critical account/";"car (new)";"... < 100 Euro";"4 <= ... < 7 years";"co-applicant";"building society savings agreement/ life insurance";"none";"own";"skilled employee / official";"yes, registered under the customers name";10;1038;4;3;49;2;1;"male";"Worthy";103.8
"yes";"no checking account";"critical account/";"car (new)";"500 <= ... < 1000 Euro";"1 <= ... < 4 years";"none";"unknown / no property";"bank";"for free";"skilled employee / official";"none";48;10127;2;2;44;1;1;"male";"Not Worthy";210.97916666666666
"yes";"no checking account";"existing credits paid back duly till now";"furniture/equipment";".. >= 1000 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"none";6;1543;4;2;33;1;1;"male";"Worthy";257.1666666666667
"yes";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";"4 <= ... < 7 years";"none";"building society savings agreement/ life insurance";"stores";"rent";"unskilled - resident";"none";30;4811;2;4;24;1;1;"female";"Worthy";160.36666666666667
"yes";"< 0 Euro";"existing credits paid back duly till now";"radio/television";"100 <= ... < 500 Euro";"... < 1 year";"none";"unknown / no property";"none";"own";"unskilled - resident";"yes, registered under the customers name";12;727;4;3;33;1;1;"male";"Not Worthy";60.583333333333336
"yes";"< 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"own";"skilled employee / official";"none";8;1237;3;4;24;1;1;"female";"Not Worthy";154.625
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";"1 <= ... < 4 years";"none";"real estate";"none";"rent";"unskilled - resident";"none";9;276;4;4;22;1;1;"male";"Worthy";30.666666666666668
"yes";"< 200 Euro";"existing credits paid back duly till now";"others";"unknown/ no savings account";"unemployed";"none";"unknown / no property";"bank";"for free";"unemployed/ unskilled - non-resident";"yes, registered under the customers name";48;5381;3;4;40;1;1;"male";"Worthy";112.10416666666667
"yes";"no checking account";"existing credits paid back duly till now";"furniture/equipment";"100 <= ... < 500 Euro";"1 <= ... < 4 years";"none";"car or other";"stores";"own";"skilled employee / official";"none";24;5511;4;1;25;1;1;"male";"Worthy";229.625
"yes";">= 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"... < 1 year";"none";"car or other";"none";"own";"skilled employee / official";"none";24;3749;2;4;26;1;1;"female";"Worthy";156.20833333333334
"yes";"< 200 Euro";"existing credits paid back duly till now";"car (new)";"... < 100 Euro";"4 <= ... < 7 years";"none";"car or other";"bank";"own";"unskilled - resident";"none";12;685;2;3;25;1;1;"male";"Not Worthy";57.083333333333336
"no";">= 200 Euro";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";"... < 1 year";"none";"real estate";"none";"own";"unskilled - resident";"none";4;1494;1;2;29;1;2;"male";"Worthy";373.5
"yes";"< 0 Euro";"all credits at this bank paid back duly";"furniture/equipment";"... < 100 Euro";".. >= 7 years";"none";"car or other";"bank";"own";"skilled employee / official";"none";36;2746;4;4;31;1;1;"male";"Not Worthy";76.27777777777777
"yes";"< 0 Euro";"existing credits paid back duly till now";"furniture/equipment";"... < 100 Euro";"1 <= ... < 4 years";"guarantor";"building society savings agreement/ life insurance";"none";"own";"unskilled - resident";"none";12;708;2;3;38;1;2;"male";"Worthy";59.0
"yes";"< 200 Euro";"existing credits paid back duly till now";"furniture/equipment";"unknown/ no savings account";"1 <= ... < 4 years";"none";"building society savings agreement/ life insurance";"none";"own";"unskilled - resident";"yes, registered under the customers name";24;4351;1;4;48;1;1;"female";"Worthy";181.29166666666666
"yes";"no checking account";"critical account/";"education";"... < 100 Euro";"1 <= ... < 4 years";"none";"car or other";"none";"own";"skilled employee / official";"none";12;701;4;2;32;2;1;"male";"Worthy";58.416666666666664
"yes";"< 0 Euro";"delay in paying off in the past";"furniture/equipment";"... < 100 Euro";".. >= 7 years";"none";"building society savings agreement/ life insurance";"none";"own";"unskilled - resident";"none";15;3643;1;4;27;2;1;"female";"Worthy";242.86666666666667
